Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1984 02 28 12,40435.21,33.59,158.57,10.01,2.44,723.28,3330,3330,,,6670
1984 02 29 12,40435.21,0,185.69,4.75,-1.5,559.93,6670,6670,,,2680
1984 03 01 12,40755.38,0,356.52,8.65,-4.57,439.97,2680,2680,,,1190
1984 03 02 12,40780.8,0,393.42,12.03,-3.39,480,1190,1190,,,891
1984 03 03 12,40780.8,0,431.55,16.74,-1.79,536.83,891,891,,,757
1984 03 04 12,41126.39,0,431.02,19.44,0.8,640,757,757,,,659
1984 03 05 12,41126.39,0,387.61,20.31,4.83,865.69,659,659,,,733
1984 03 06 12,41126.39,32.49,158.25,18.16,10.9,1312.2,733,733,,,2610
1984 03 07 12,41471.98,5.52,270.5,17.13,4,800,2610,2610,,,2430
1984 03 08 12,41471.98,0,406.54,13.79,-1.5,560,2430,2430,,,1360
1984 03 09 12,41638.14,0,462.72,17.42,-2.54,511.22,1360,1360,,,932
1984 03 10 12,41817.61,0,393.8,11.06,-2.98,481.35,932,932,,,746
1984 03 11 12,41817.61,0,412.68,13.09,-1.87,531.82,746,746,,,658
1984 03 12 12,42163.22,0,443.88,15.95,-1.11,560,658,658,,,597
1984 03 13 12,42163.22,15.36,300.88,17.35,2.99,759.51,597,597,,,998
1984 03 14 12,42163.22,0.02,311.49,15.19,5.16,893.08,998,998,,,1380
1984 03 15 12,42508.8,0,462.33,23.78,4.43,834.07,1380,1380,,,890
1984 03 16 12,42508.8,0,461.22,25.48,6.08,930.53,890,890,,,699
1984 03 17 12,42544.02,0,397.61,24.36,9.68,1214.79,699,699,,,614
1984 03 18 12,42854.39,0.99,343.65,20.23,8.79,1142.91,614,614,,,566
1984 03 19 12,42854.39,0,418.48,24.84,9.47,1197.7,566,566,,,533
1984 03 20 12,43199.98,0,408.01,26.97,12.05,1403.96,533,533,,,526
1984 03 21 12,43199.98,15.3,359.38,21.95,3.3,782.61,526,526,,,1240
1984 03 22 12,43199.98,0,393.77,16.23,3.49,791.4,1240,1240,,,890
1984 03 23 12,43545.6,0,464.05,21.99,4.83,866.32,890,890,,,622
1984 03 24 12,43545.6,0,481.81,24.72,5.65,920,622,622,,,521
1984 03 25 12,43855.98,14.01,326.55,25.05,9.16,1172.47,521,521,,,584
1984 03 26 12,43891.2,0,481.51,23.75,5.09,887.5,584,584,,,788
1984 03 27 12,43891.2,0,415.1,19.56,5.69,920.16,788,788,,,604
1984 03 28 12,44236.83,20.43,291.26,21.86,9.06,1164.5,604,604,,,1620
1984 03 29 12,44236.83,17.51,336.28,25.6,9.1,1167.95,1620,1620,,,2810
1984 03 30 12,44236.83,0,435.2,15.64,1.01,640.78,2810,2810,,,1140
1984 03 31 12,44582.39,0,489.54,17.94,-0.22,600,1140,1140,,,647
1984 04 01 12,44582.39,0,427.27,17.76,3.4,791.1,647,647,,,600
1984 04 02 12,44761.86,0,487.39,19.63,1.73,698.14,600,600,,,530
1984 04 03 12,44927.99,5.97,343.77,21.79,5.58,912.08,530,530,,,500
1984 04 04 12,44927.99,11.65,194.28,17.95,10.24,1259.5,500,500,,,640
1984 04 05 12,45273.6,10.57,282.46,18.86,6.99,999.41,640,640,,,1950
1984 04 06 12,45273.6,0,366.47,17.27,6.02,921.35,1950,1950,,,1700
1984 04 07 12,45273.6,0,429.01,19.76,5.79,920,1700,1700,,,800
1984 04 08 12,45619.18,0,428.49,22.6,8.54,1123.58,800,800,,,600
1984 04 09 12,45619.18,3.88,290.25,21.66,9.57,1205.27,600,600,,,1000
1984 04 10 12,45644.6,18.82,203.23,12.97,5.5,919.47,1000,1000,,,2240
1984 04 11 12,45964.79,0,252.15,12.07,5.36,908.62,2240,2240,,,1170
1984 04 12 12,45964.79,0,508.29,20.95,3.51,800,1170,1170,,,686
1984 04 13 12,46275.18,0,486.34,24.1,7.44,1034.87,686,686,,,491
1984 04 14 12,46310.4,0,475.69,27.23,10.78,1302.01,491,491,,,404
1984 04 15 12,46310.4,3.33,395.26,26.71,10.29,1262.92,404,404,,,366
1984 04 16 12,46656,0,477.59,22.28,6.75,980.17,366,366,,,334
1984 04 17 12,46656,0,433.38,18.79,5.75,920,334,334,,,290
1984 04 18 12,46656,0,452.7,18.21,4.49,839,290,290,,,264
1984 04 19 12,47001.61,0,507.81,19.73,2.98,758.11,264,264,,,245
1984 04 20 12,47001.61,21.51,209.4,14.8,7.45,1035.66,245,245,,,931
1984 04 21 12,47001.61,13.29,192.76,16.75,10.04,1242.84,931,931,,,1490
1984 04 22 12,47347.21,0,370.92,22.93,12.51,1441.15,1490,1490,,,804
1984 04 23 12,47347.21,18.04,319.64,19.65,7.8,1063.67,804,804,,,2460
1984 04 24 12,47347.21,0,480.13,21.46,7.23,1018.16,2460,2460,,,1460
1984 04 25 12,47692.81,0,508.83,23.42,7.5,1040.01,1460,1460,,,729
1984 04 26 12,47692.81,0,545.6,29.8,9.58,1206.16,729,729,,,477
1984 04 27 12,47692.81,1.38,474.65,30.49,13.53,1557.67,477,477,,,614
1984 04 28 12,48038.4,13.62,257.74,23.83,14.49,1639.29,614,614,,,1420
1984 04 29 12,48038.4,0,371.11,26.25,15.88,1797.81,1420,1420,,,753
1984 04 30 12,48038.4,0,309.55,25.2,17.01,1930.01,753,753,,,536
1984 05 01 12,48383.99,5.7,388.09,28.66,11.64,1370.96,536,536,,,520
1984 05 02 12,48383.99,0.39,476.41,27.04,12.27,1422.77,520,520,,,508
1984 05 03 12,48383.99,23.36,307.1,24.34,13.32,1529.79,508,508,,,3150
1984 05 04 12,48694.35,26.48,265.57,23.45,14.28,1622.06,3150,3150,,,5930
1984 05 05 12,48729.61,0,535.54,26.27,8.87,1149.52,5930,5930,,,2710
1984 05 06 12,48729.61,0,511.19,29.07,12.42,1434.68,2710,2710,,,966
1984 05 07 12,48789.93,10.6,321.76,30.1,17.27,1963.23,966,966,,,1540
1984 05 08 12,49075.19,0,393.21,28.57,17.43,1989.22,1540,1540,,,1070
1984 05 09 12,49075.19,0,574.03,27.35,6.16,933.33,1070,1070,,,569
1984 05 10 12,49075.19,0,540.9,23.04,5.45,910.28,569,569,,,399
1984 05 11 12,49385.59,0,532.35,24.53,6.94,994.87,399,399,,,320
1984 05 12 12,49420.81,0,534.43,28.17,9.61,1208.68,320,320,,,270
1984 05 13 12,49420.81,0,493.13,29.64,13.31,1523.23,270,270,,,236
1984 05 14 12,49446.23,0,452.46,30.75,16.27,1842.82,236,236,,,209
1984 05 15 12,49763.71,0,535.88,30.68,11.4,1351.94,209,209,,,188
1984 05 16 12,49766.41,0,501.42,24.18,8.5,1120,188,188,,,164
1984 05 17 12,49766.41,0,537.58,23.58,5.74,920,164,164,,,142
1984 05 18 12,49791.83,0,552.54,25.21,5.82,920,142,142,,,129
1984 05 19 12,50076.75,0,543.93,29.03,9.3,1184.37,129,129,,,122
1984 05 20 12,50111.99,0,479.21,30.74,14.4,1636.27,122,122,,,115
1984 05 21 12,50111.99,0,461.18,30.69,15.05,1721.41,115,115,,,107
1984 05 22 12,50111.99,0,434.22,30.71,16.23,1835.31,107,107,,,98
1984 05 23 12,50226.32,7.01,270.86,29.92,18.45,2122.69,98,98,,,98
1984 05 24 12,50457.61,1.71,375.52,28.79,16.25,1839.61,98,98,,,108
1984 05 25 12,50457.61,0,473.68,28.91,13.02,1491.32,108,108,,,103
1984 05 26 12,50457.61,0,449.93,29.96,15.13,1730.21,103,103,,,93
1984 05 27 12,50457.61,0.16,409.71,31.11,17.81,2049.44,93,93,,,83
1984 05 28 12,50571.95,27.15,259.95,30.07,19.28,2244.69,83,83,,,655
1984 05 29 12,50767.96,12.66,240.31,28.31,18.63,2140.93,655,655,,,825
1984 05 30 12,50803.17,0.4,462.03,25.6,10.53,1282.57,825,825,,,326
1984 05 31 12,50803.17,0,500.88,22.07,6.02,929.98,326,326,,,184
1984 06 01 12,50803.17,0,524.74,25,7.06,1004.6,184,184,,,131
1984 06 02 12,50803.17,0,497.51,28.03,10.94,1315.36,131,131,,,109
1984 06 03 12,50828.59,0,485.15,32.06,14.56,1650.15,109,109,,,97
1984 06 04 12,50982.64,0,485.88,33.33,15.45,1756.02,97,97,,,84
1984 06 05 12,51113.55,0,460.99,33.72,17.07,1932,84,84,,,75
1984 06 06 12,51148.8,0,425.91,33.56,18.57,2131.48,75,75,,,70
1984 06 07 12,51148.8,0,415.59,33.48,18.89,2182.3,70,70,,,67
1984 06 08 12,51148.8,0,442.54,33,17.43,1989,67,67,,,61
1984 06 09 12,51148.8,0,435.58,32.26,17.23,1956.56,61,61,,,56
1984 06 10 12,51148.8,0,433.36,32.46,17.55,2007.85,56,56,,,53
1984 06 11 12,51148.8,0,434.46,32.71,17.78,2043.51,53,53,,,50
1984 06 12 12,51154.41,0,423.66,33.5,18.91,2185.87,50,50,,,46
1984 06 13 12,51174.22,0,442.5,33.01,17.67,2027.55,46,46,,,44
1984 06 14 12,51209.12,0,450.79,33.5,17.73,2037.32,44,44,,,43
1984 06 15 12,51263.11,0,438,33.94,18.67,2147.15,43,43,,,41
1984 06 16 12,51328.23,0,433.65,34.45,19.32,2250.63,41,41,,,39
1984 06 17 12,51328.23,0,442.81,34.47,19,2200,39,39,,,40
1984 06 18 12,51393.96,0,433.02,34.71,19.73,2298.22,40,40,,,39
1984 06 19 12,51393.96,0,435.57,35.84,20.47,2395.76,39,39,,,35
1984 06 20 12,51393.96,0,438.81,37.34,21.37,2539.21,35,35,,,30
1984 06 21 12,51393.96,13.24,324.61,35.72,20.48,2396.72,30,30,,,38
1984 06 22 12,51393.96,16.21,267.85,31.29,20,2320,38,38,,,95
1984 06 23 12,51328.23,1.18,295.97,27.66,18.66,2145.05,95,95,,,101
1984 06 24 12,51328.23,0,361.18,29.47,18.49,2119.29,101,101,,,74
1984 06 25 12,51263.11,0,365,30.08,18.95,2192.05,74,74,,,61
1984 06 26 12,51209.12,0,472.71,32.38,16.31,1848.27,61,61,,,58
1984 06 27 12,51174.22,0,439.4,32.05,17.54,2006.27,58,58,,,53
1984 06 28 12,51154.41,2.21,340.08,31.53,18.69,2150.04,53,53,,,45
1984 06 29 12,51148.8,7.94,311.86,32.18,18.61,2137.73,45,45,,,80
1984 06 30 12,51148.8,8.54,232.38,28.28,19.15,2224.68,80,80,,,342
1984 07 01 12,51148.8,5.98,351.58,29.27,16.87,1913.1,342,342,,,124
1984 07 02 12,51148.8,13.98,304.77,30.25,17.78,2044.4,124,124,,,344
1984 07 03 12,51148.8,7.47,316.5,28.68,17.3,1968.53,344,344,,,111
1984 07 04 12,51148.8,0,411.18,31.93,19.2,2229.59,111,111,,,82
1984 07 05 12,51148.8,0,395.58,32.97,20.72,2435.67,82,82,,,84
1984 07 06 12,51048.39,4.43,362.49,33.1,20.18,2349.38,84,84,,,60
1984 07 07 12,50917.51,8.19,313.45,32.61,19.66,2291.03,60,60,,,49
1984 07 08 12,50808.79,0,405.45,31.65,19.45,2271.95,49,49,,,56
1984 07 09 12,50803.17,0,439.7,31.42,17.94,2069.91,56,56,,,50
1984 07 10 12,50803.17,0,434.86,32.48,19,2199.6,50,50,,,40
1984 07 11 12,50803.17,0,440.05,34.81,20.54,2406.47,40,40,,,36
1984 07 12 12,50803.17,6.43,382.08,35.71,22,2640,36,36,,,36
1984 07 13 12,50702.79,5.5,379.33,35.35,20.88,2460.26,36,36,,,31
1984 07 14 12,50483.03,20.5,287.24,31.77,20.54,2406.96,31,31,,,146
1984 07 15 12,50457.61,1.83,335.58,30.95,20.42,2387.34,146,146,,,125
1984 07 16 12,50457.61,0,383.11,32.59,21.38,2540.92,125,125,,,79
1984 07 17 12,50457.61,15.24,288.05,32.28,21.19,2510.23,79,79,,,69
1984 07 18 12,50422.38,12.55,287.87,31.84,20.92,2467.79,69,69,,,769
1984 07 19 12,50137.41,32.71,249.85,28.68,19.96,2318.76,769,769,,,2250
1984 07 20 12,50111.99,1.42,392.8,29.43,18.42,2113.44,2250,2250,,,397
1984 07 21 12,50111.99,0.02,399.92,29.17,18.49,2121.49,397,397,,,191
1984 07 22 12,50111.99,7.14,292.21,29.5,19.14,2222.94,191,191,,,263
1984 07 23 12,49945.82,0,386.49,29.28,19.03,2204.19,263,263,,,204
1984 07 24 12,49766.41,0,415.82,31.11,19.49,2278.57,204,204,,,137
1984 07 25 12,49766.41,0,432.46,32.81,20.15,2343.45,137,137,,,93
1984 07 26 12,49766.41,0.77,420.04,33.07,20.44,2389.65,93,93,,,75
1984 07 27 12,49600.27,9.89,343.39,32.37,19.44,2270.4,75,75,,,73
1984 07 28 12,49420.81,18.98,320.48,31.6,19.5,2280,73,73,,,641
1984 07 29 12,49420.81,22.82,267.69,27.5,18.51,2121.34,641,641,,,1320
1984 07 30 12,49420.81,13.47,187.01,23.47,17.7,2032.12,1320,1320,,,1380
1984 07 31 12,49135.52,4.26,205.27,24.39,18.2,2096.46,1380,1380,,,552
1984 08 01 12,49075.19,0,327.82,27.44,19.52,2281.54,552,552,,,281
1984 08 02 12,49075.19,18.81,275.73,30.4,20.99,2477.83,281,281,,,432
1984 08 03 12,49039.95,20.84,313.07,31.33,20.13,2340.46,432,432,,,1750
1984 08 04 12,48729.61,0,414.28,31.56,20.44,2390.42,1750,1750,,,709
1984 08 05 12,48729.61,0,438.89,31.93,19.78,2302.65,709,709,,,297
1984 08 06 12,48729.61,1.45,429.58,32.9,19.78,2302.92,297,297,,,192
1984 08 07 12,48409.41,0,441.3,33.09,20.5,2400.72,192,192,,,188
1984 08 08 12,48383.99,0,441.75,33.09,20.5,2400,188,188,,,136
1984 08 09 12,48383.99,0,447.24,33.43,20.5,2400,136,136,,,104
1984 08 10 12,48152.71,0,439.16,33.62,21,2480,104,104,,,87
1984 08 11 12,48038.4,18.65,341.98,33.32,20,2320,87,87,,,435
1984 08 12 12,48038.4,1.3,404.25,31.4,20.09,2333.76,435,435,,,251
1984 08 13 12,47872.24,0,376.31,30.64,21,2480,251,251,,,163
1984 08 14 12,47692.81,1.13,398.86,31.45,20.5,2400.54,163,163,,,113
1984 08 15 12,47692.81,0,432.09,32.41,20.33,2373.08,113,113,,,108
1984 08 16 12,47592.43,0,454.89,33.68,20.14,2345.65,108,108,,,92
1984 08 17 12,47347.21,11.13,347.18,33.37,19.46,2274.3,92,92,,,78
1984 08 18 12,47347.21,0,460.32,32.17,18.5,2120,78,78,,,92
1984 08 19 12,47246.78,0,445.94,32.36,19.22,2233,92,92,,,103
1984 08 20 12,47001.61,0.93,431.74,31.97,19.16,2225.55,103,103,,,75
1984 08 21 12,47001.61,0,426.4,31.22,19,2200.42,75,75,,,72
1984 08 22 12,46770.35,0,452.55,30.53,17.21,1954.22,72,72,,,58
1984 08 23 12,46656,0,451.03,31.58,17.96,2071.13,58,58,,,52
1984 08 24 12,46656,0,440.04,31.37,18.26,2102.66,52,52,,,55
1984 08 25 12,46316.02,0,450.41,31.14,17.51,2002.22,55,55,,,52
1984 08 26 12,46310.4,2.72,373.78,29.62,17.85,2053.17,52,52,,,75
1984 08 27 12,46310.4,1.19,374.13,27.89,17.46,1993.02,75,75,,,546
1984 08 28 12,45964.79,0,414.31,29.94,18,2080.39,546,546,,,125
1984 08 29 12,45964.79,0,398.4,30.32,18.75,2160.38,125,125,,,80
1984 08 30 12,45964.79,0,395.78,29.23,17.78,2044.52,80,80,,,72
1984 08 31 12,45619.18,0,429.04,32.21,18.52,2123.04,72,72,,,62
1984 09 01 12,45619.18,0,459.25,33.24,17.42,1987.89,62,62,,,54
1984 09 02 12,45616.5,0,462.16,32.55,16.53,1882.58,54,54,,,47
1984 09 03 12,45273.6,0,451.22,33.33,17.53,2004.27,47,47,,,42
1984 09 04 12,45273.6,7.21,321.97,32.91,18.37,2109.7,42,42,,,38
1984 09 05 12,44927.99,3.62,271.24,26.63,16.43,1869.1,38,38,,,43
1984 09 06 12,44927.99,0,453.89,26.64,12,1400,43,43,,,82
1984 09 07 12,44927.99,0,477.63,27.54,11.05,1324.36,82,82,,,97
1984 09 08 12,44582.39,0,470.24,27.14,11.03,1322.47,97,97,,,50
1984 09 09 12,44582.39,0,452.51,27.49,12.18,1414.27,50,50,,,38
1984 09 10 12,44582.39,0,397.74,27.06,14.46,1644.8,38,38,,,34
1984 09 11 12,44236.83,0,372.74,29.52,17.48,1996.29,34,34,,,30
1984 09 12 12,44236.83,0,419.72,32.35,17.28,1964.6,30,30,,,27
1984 09 13 12,43891.2,0,412.18,33.34,18.23,2098.27,27,27,,,28
1984 09 14 12,43891.2,0,434.04,33.9,17.08,1933.54,28,28,,,25
1984 09 15 12,43891.2,0,429.3,34.69,17.73,2036.82,25,25,,,24
1984 09 16 12,43545.6,0,426.11,32.7,16.32,1848.74,24,24,,,23
1984 09 17 12,43545.6,0,415.89,24.34,10.18,1254.35,23,23,,,21
1984 09 18 12,43545.6,0,385.69,23.64,10.94,1315.58,21,21,,,20
1984 09 19 12,43199.98,0,414.05,24.14,9.86,1229.11,20,20,,,18
1984 09 20 12,43199.98,0,481.56,27.81,7.63,1050.17,18,18,,,13
1984 09 21 12,42854.39,0,482.82,30.46,8.77,1141.84,13,13,,,19
1984 09 22 12,42854.39,0,475.75,31.94,10.02,1241.86,19,19,,,14
1984 09 23 12,42854.39,0,437.86,31.28,12.61,1448.84,14,14,,,14
1984 09 24 12,42508.8,0,410.92,31.58,14.5,1640.14,14,14,,,16
1984 09 25 12,42508.8,0,404.91,32.13,15,1716.26,16,16,,,16
1984 09 26 12,42508.8,0,425.03,33.52,14.18,1614.68,16,16,,,15
1984 09 27 12,42163.22,0,395.75,32.39,15.17,1733.57,15,15,,,14
1984 09 28 12,42163.22,0,256.23,21.4,12.38,1430.35,14,14,,,14
1984 09 29 12,41817.61,0,242.42,20.93,12.45,1436.4,14,14,,,12
1984 09 30 12,41817.61,0,331.21,25.31,12.72,1457.3,12,12,,,13
1984 10 01 12,41817.61,20.05,188.56,17.91,9.32,1185.84,13,13,,,20
1984 10 02 12,41471.98,0,416.82,20.99,4.07,805.85,20,20,,,21
1984 10 03 12,41471.98,0,432.41,22.62,4,800.28,21,21,,,25
1984 10 04 12,41471.98,0,434.84,25.3,5.5,920,25,25,,,31
1984 10 05 12,41126.39,0,419.2,28.08,8.58,1126.57,31,31,,,25
1984 10 06 12,41126.39,0,392.38,28.43,10.7,1295.61,25,25,,,22
1984 10 07 12,40783.48,0,357.17,27.29,11.95,1395.76,22,22,,,19
1984 10 08 12,40780.8,0,297.62,26.17,14.1,1608.72,19,19,,,18
1984 10 09 12,40780.8,0,311.09,26.65,13.81,1584.57,18,18,,,19
1984 10 10 12,40435.21,0,312.83,26.54,13.52,1552.66,19,19,,,17
1984 10 11 12,40435.21,0,325.35,27.49,13.49,1558.56,17,17,,,18
1984 10 12 12,40435.21,0,357.97,26.99,10.98,1318.69,18,18,,,13
1984 10 13 12,40089.6,0,366.06,27.54,10.64,1291.28,13,13,,,11
1984 10 14 12,40089.6,0,387.66,28.9,9.73,1218.59,11,11,,,14
1984 10 15 12,40083.98,0,370.96,29.48,11.32,1345.53,14,14,,,15
1984 10 16 12,39743.98,0,342.03,29.82,13.51,1560.87,15,15,,,15
1984 10 17 12,39743.98,0,302.18,29.89,15.9,1791.74,15,15,,,14
1984 10 18 12,39629.68,0,286.33,29.67,16.46,1872.14,14,14,,,14
1984 10 19 12,39398.4,0,288.42,29.39,16.03,1804.51,14,14,,,16
1984 10 20 12,39398.4,0,310.05,30.35,15.51,1761.04,16,16,,,11
1984 10 21 12,39218.96,1.02,279.98,30.25,16.5,1873.67,11,11,,,16
1984 10 22 12,39052.82,0,226.28,29.45,19.39,2260.97,16,16,,,16
1984 10 23 12,39052.82,0.02,254.03,29.45,18.09,2081.88,16,16,,,18
1984 10 24 12,38807.61,0,272.51,29.36,17.07,1931.59,18,18,,,14
1984 10 25 12,38707.19,0,310.1,29.36,14.78,1682.01,14,14,,,12
1984 10 26 12,38707.19,0,329.71,28.62,12.77,1461.64,12,12,,,19
1984 10 27 12,38527.77,0,331.76,28.15,12.12,1409.75,19,19,,,18
1984 10 28 12,38361.6,1.17,272.36,28.45,15.94,1803.33,18,18,,,17
1984 10 29 12,38361.6,6.9,190.28,29.77,17.87,2050.73,17,17,,,22
1984 10 30 12,38247.28,0,273.71,28.45,15.55,1763.84,22,22,,,33
1984 10 31 12,38016.01,0,275.5,29.41,16,1800.41,33,33,,,33
1984 11 01 12,38016.01,0,224.65,26.77,16.59,1886.62,33,33,,,29
1984 11 02 12,37990.59,0,231.52,25.68,15.43,1691.9,29,29,,,25
1984 11 03 12,37670.38,0,272.31,24.82,12.65,1352.42,25,25,,,23
1984 11 04 12,37670.38,2.12,204.15,15.79,7.28,1022.2,23,23,,,22
1984 11 05 12,37670.38,1.02,171.23,14.6,8.13,1090.17,22,22,,,22
1984 11 06 12,37360.03,0,337.71,21.05,5,772.76,22,22,,,21
1984 11 07 12,37324.82,0,366.68,17.4,-1.93,472.66,21,21,,,19
1984 11 08 12,37324.82,0,352.36,16.01,-1.85,489.26,19,19,,,21
1984 11 09 12,37264.5,0,348.99,17.11,-0.96,520.02,21,21,,,21
1984 11 10 12,36979.21,0,365.97,21.48,0.05,452.83,21,21,,,21
1984 11 11 12,36979.21,15.94,260.15,22.91,3.23,666.78,21,21,,,28
1984 11 12 12,36979.21,0,298.48,14.56,0.49,604.3,28,28,,,36
1984 11 13 12,36799.76,0,346.38,14.36,-4.5,402.3,36,36,,,58
1984 11 14 12,36633.6,0,357.29,16.84,-4.5,388.31,58,58,,,35
1984 11 15 12,36633.6,0,353.52,19.31,-2.41,446.24,35,35,,,25
1984 11 16 12,36633.6,0,328.29,21.39,2.8,609.92,25,25,,,23
1984 11 17 12,36519.29,0,350.32,18.89,-3.33,391.51,23,23,,,23
1984 11 18 12,36288,0,335.38,18.01,-2.2,436.4,23,23,,,23
1984 11 19 12,36288,0.02,310.4,22.33,4.32,688.7,23,23,,,26
1984 11 20 12,36288,2.01,271.39,21.21,5.21,787.83,26,26,,,24
1984 11 21 12,36262.58,0,264.92,10.41,-3.11,473.68,24,24,,,23
1984 11 22 12,35977.61,0,194.69,7.17,-1.98,529.53,23,23,,,23
1984 11 23 12,35942.39,0,277.29,12.19,-2.62,485.86,23,23,,,26
1984 11 24 12,35942.39,0,327.05,17.44,-3.75,401.12,26,26,,,25
1984 11 25 12,35942.39,0,330.63,18.73,-3.75,387.06,25,25,,,24
1984 11 26 12,35916.96,0,320.25,19.25,-2,442.46,24,24,,,25
1984 11 27 12,35697.22,0,307.21,21.85,1.67,574.28,25,25,,,27
